lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash
Daulton Pond	62	2/27/2014	58	2014	7.0024	9.5669	128	10	29.7504	32.5769	29.9624
Daulton Pond	67	1/20/2015	20	2015	7.2187	7.6992	454	4	27.4872	28.1875	27.7311
Daulton Pond	68	5/21/2014	141	2014	7.1521	9.5065	211	17	30.5133	32.7522	30.9309
Daulton Pond	69	1/20/2015	20	2015	7.1612	8.48	454	10	29.7511	31.1536	30.2456
Daulton Pond	70	5/21/2014	141	2014	7.1542	9.0211	211	18	29.4353	31.1766	29.6493
Lancer Park Pond	46	10/29/1931	302	2013	7.1874	11.427	0	5	30.3736	34.4472	30.7159
Lancer Park Pond	33	10/29/2013	302	2013	7.1922	11.5806	0	5	30.3758	34.6937	30.7022
Lancer Park Pond	43	10/29/2013	302	2013	7.1908	11.6357	0	4	27.4829	29.0485	27.6557
Lancer Park Pond	58	10/29/2013	302	2013	7.2219	11.4871	0	6	31.512	33.4924	31.6409
Lancer Park Pond	61	10/29/2013	302	2013	7.2022	11.5523	0	5	30.3767	31.9098	30.4822
Lancer Park Pond	13	10/31/2013	304	2013	7.2093	10.8257	2	1	29.7349	30.9722	29.7935
Lancer Park Pond	16	10/31/2013	304	2013	7.2094	10.7481	2	2	26.6491	30.2684	26.836
Lancer Park Pond	22	10/31/2013	304	2013	7.2104	10.9456	2	2	26.65	28.8318	26.7538
Lancer Park Pond	38	10/31/2013	304	2013	7.2023	10.4654	2	3	28.0734	29.0174	28.1233
Lancer Park Pond	62	10/31/2013	304	2013	7.2242	10.7023	2	6	31.5111	32.385	31.554
Lancer Park Pond	1	11/8/2013	312	2013	7.0318	10.2502	10	1	29.7384	33.0033	29.8782
Lancer Park Pond	24	11/8/2013	312	2013	6.9405	10.3343	10	3	28.0727	29.8631	28.1576
Lancer Park Pond	40	11/8/2013	312	2013	7.079	10.6374	10	18	29.4351	31.2918	29.5534
Lancer Park Pond	47	11/8/2013	312	2013	7.039	10.4337	10	23	28.8125	32.0258	28.9883
Lancer Park Pond	49	11/8/2013	312	2013	7.0876	10.5559	10	12	28.1216	31.6505	28.3491
Lancer Park Pond	37	11/16/2013	320	2013	7.1756	9.9667	18	4	27.4831	30.4875	27.6576
Lancer Park Pond	60	11/16/2013	320	2013	7.1115	10.4225	18	11	26.5907	29.8398	26.7908
Lancer Park Pond	64	11/16/2013	320	2013	7.1817	10.58	18	3	28.0743	30.3104	28.224
Lancer Park Pond	66	11/16/2013	320	2013	7.2093	10.3765	18	19	28.5645	31.7621	28.7306
Lancer Park Pond	70	11/16/2013	320	2013	7.164	10.7999	18	6	31.5113	34.8647	31.7231
Lancer Park Pond	4	12/5/2013	339	2013	7.3544	10.9055	37	23	28.8136	32.3487	29.2037
Lancer Park Pond	5	12/5/2013	339	2013	7.2556	10.9075	37	23	28.8115	30.3628	29.9526
Lancer Park Pond	39	12/5/2013	339	2013	7.2206	11.1849	37	20	29.1379	32.315	29.4124
Lancer Park Pond	59	12/5/2013	339	2013	7.2508	10.6595	37	19	28.545	31.3771	28.7597
Lancer Park Pond	2	5/21/2014	141	2014	7.1168	8.858	204	19	28.5465	30.1928	28.9795
Lancer Park Pond	3	9/29/2014	272	2014	7.4405		342	16	28.873	30.3883	29.6243
Lancer Park Pond	6	9/29/2014	272	2014	7.4475		342	15	26.9918	27.8791	27.2464
Lancer Park Pond	7	9/29/2014	272	2014	7.4634		342	20	29.1384	29.172	29.1431
Lancer Park Pond	8	9/29/2014	272	2014	7.4852		342	14	28.219	29.0198	28.4417
Lancer Park Pond	9	5/21/2014	141	2014	7.1237	9.6848	204	20	29.1377	31.6	29.8664
Lancer Park Pond	10	9/29/2014	272	2014	7.4373		342	18	29.4373	30.462	29.5623
Lancer Park Pond	11										
Lancer Park Pond	12										
Lancer Park Pond	14										
Lancer Park Pond	15										
Lancer Park Pond	17										
Lancer Park Pond	18										
Lancer Park Pond	19										
Lancer Park Pond	20										
Lancer Park Pond	21	5/21/2014	141	2014	7.1274	9.6616	204	21	31.001	33.4271	31.5696
Lancer Park Pond	23	2/22/2014	53	2014	7.1128	10.4588	116	15	26.9897	30.4581	27.6935
Lancer Park Pond	25	2/6/2013	37	2014	6.9294	10.1899	100	1	29.7361	32.9873	30.3211
Lancer Park Pond	26	12/21/2013	355	2013	7.3905	10.6357	53	20	29.1352	31.9552	29.6897
Lancer Park Pond	27	11/21/2013	325	2013	7.5778	10.6186	23	15	26.9874	30.4271	27.621
Lancer Park Pond	28	2/6/2013	37	2014	6.9888	10.4028	100	8	28.9648	32.4559	29.3502
Lancer Park Pond	29	2/6/2014	37	2014	7.0028	9.5208	100	10	29.7481	32.4137	30.1612
Lancer Park Pond	30	12/21/2013	355	2013	7.341	11.581	53	18	29.4338	33.3362	30.6735
Lancer Park Pond	31	2/22/2014	53	2014	7.0458	10.2021	116	20	29.1731	32.2618	29.5171
Lancer Park Pond	32	11/21/2013	325	2013	7.4059	12.4527	23	5	30.3788	35.6764	32.321
Lancer Park Pond	34	2/6/2013	37	2014	6.9703	10.2876	100	15	26.9886	30.3076	27.517
Lancer Park Pond	35	2/6/2013	37	2014	6.914	10.692	100	14	28.2172	32.0302	29.1879
Lancer Park Pond	36	11/21/2013	325	2013	7.3579	10.6023	23	6	31.5114	35.04	32.2377
Lancer Park Pond	41										
Lancer Park Pond	42										
Lancer Park Pond	44	5/21/2014	141	2014	7.157	9.3124	204	22	26.9361	28.9994	27.5761
Lancer Park Pond	45										
Lancer Park Pond	48										
Lancer Park Pond	50										
Lancer Park Pond	51										
Lancer Park Pond	52										
Lancer Park Pond	53	11/21/2013	325	2013	7.3578	10.5208	23	19	28.5468	32.912	29.1761
Lancer Park Pond	54	5/21/2014	141	2014	7.1437	10.189	204	23	28.8147	31.6932	29.715
Lancer Park Pond	55	2/6/2013	37	2014	6.9468	10.6537	100	8	29.4349	33.2221	30.07
Lancer Park Pond	56	12/21/2013	355	2013	7.4033	10.6094	53	17	30.512	33.7047	30.9979
Lancer Park Pond	57	12/21/2013	355	2013	4.3083	11.0695	53	17	30.5151	34.2665	31.3691
Lancer Park Pond	63	2/22/2014	53	2014	7.3085	11.1382	116	9	27.0786	30.8801	27.58
Lancer Park Pond	65	2/22/2014	53	2014	7.3942	10.8269	116	4	27.4847	31.2532	28.211
Lancer Park Pond	67	2/22/2014	53	2014	7.05	9.3776	116	24	29.3945	31.7872	29.5994
Lancer Park Pond	68	11/21/2013	325	2013	7.3535	11.1686	23	17	30.5137	34.3114	31.1457
Lancer Park Pond	69	2/22/2014	53	2014	6.9903	10.0239	116	2	26.6499	29.7883	27.2173
