lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Daulton Pond	49	2013/10/22	295	2013	7.3618	11.7997	0	12	28.1227	32.8198	28.5111	4.4379	4.6971	0.388400000000001	0.917310681058525	4.07093307146963
Daulton Pond	61	2013/10/22	295	2013	7.3403	11.9291	0	14	28.2158	32.9998	28.5542	4.5888	4.784	0.3384	0.929264214046823	4.26420762541806
Daulton Pond	3	2013/10/25	298	2013	7.4675	10.7607	3	2	26.6503	30.1396	26.7968	3.2932	3.4893	0.146500000000000	0.95801450147594	3.15493335626057
Daulton Pond	23	2013/10/25	298	2013	7.3955	10.4329	3	6	31.5121	34.7606	31.6785	3.0374	3.24850000000000	0.166399999999999	0.948776358319224	2.88181331075881
Daulton Pond	34	2013/10/25	298	2013	7.0195	10.5041	3	8	28.9685	32.4116	29.1495	3.4846	3.4431	0.181000000000001	0.947431094072202	3.30141839040400
Daulton Pond	43	2013/10/25	298	2013	7.1171	10.5197	3	11	26.5916	30.1064	26.7445	3.4026	3.5148	0.152899999999999	0.9564982360305	3.25458089791738
Daulton Pond	53	2013/10/25	298	2013	7.1044	10.4533	3	13	29.725	33.0735	29.8659	3.3489	3.3485	0.140899999999998	0.957921457368972	3.20798316858295
Daulton Pond	5	2013/11/01	305	2013	7.4855	10.5476	10	3	28.0742	31.5678	28.2786	3.0621	3.4936	0.204400000000000	0.94149301580032	2.88294576368216
Daulton Pond	18	2013/11/01	305	2013	7.4265	10.2989	10	4	27.4857	30.818	27.6612	2.8724	3.3323	0.175500000000000	0.947333673438766	2.72112124358551
Daulton Pond	25	2013/11/01	305	2013	7.3187	10.2519	10	7	28.1961	31.5037	28.3537	2.9332	3.3076	0.157599999999999	0.952352158664893	2.79343935179586
Daulton Pond	38	2013/11/01	305	2013	7.3985	10.5556	10	9	27.0784	30.6883	27.2323	3.1571	3.6099	0.1539	0.957367240089753	3.02250411368736
Daulton Pond	64	2013/11/01	305	2013	7.3555	10.4301	10	15	30.3788	33.1981	30.4892	3.0746	2.8193	0.110400000000002	0.960841343595927	2.95420279502004
Daulton Pond	6	2013/11/06	310	2013	7.3084	9.945	15	1	29.7359	32.5091	29.8539	2.6366	2.77320000000000	0.117999999999999	0.957449877397952	2.52441234674744
Daulton Pond	33	2013/11/06	310	2013	7.2125	10.3265	15	2	26.6497	29.9283	27.7653	3.114	3.2786	1.1156	0.659732812785945	2.05440797901543
Daulton Pond	47	2013/11/06	310	2013	7.3189	9.9023	15	3	28.0733	30.842	28.1764	2.5834	2.7687	0.103100000000001	0.962762307219994	2.48720014447213
Daulton Pond	57	2013/11/06	310	2013	7.3552	10.1178	15	4	27.4853	30.3766	27.616	2.7626	2.8913	0.130700000000001	0.954795420744993	2.63771782935012
Daulton Pond	63	2013/11/06	310	2013	7.4149	10.1013	15	5	30.3788	33.1981	30.4892	2.6864	2.8193	0.110400000000002	0.960841343595927	2.5812041854361
Daulton Pond	58	2013/11/13	317	2013	7.2441	10.1011	22	10	29.7488	32.6637	29.9054	2.857	2.9149	0.156600000000001	0.946276030052489	2.70351061785996
Daulton Pond	31	2013/11/13	317	2013	7.2093	10.2748	22	6	31.5123	34.6294	31.6748	3.0655	3.11710000000000	0.162500000000001	0.947868210836995	2.90569000032081
Daulton Pond	32	2013/11/13	317	2013	7.194	10.1695	22	7	28.1973	31.214	28.3999	2.9755	3.0167	0.202600000000000	0.932840521099214	2.77566697053071
Daulton Pond	36	2013/11/13	317	2013	7.2611	10.2223	22	8	28.966	32.1734	29.1293	2.9612	3.2074	0.163300000000000	0.949086487497662	2.81043490677808
Daulton Pond	44	2013/11/13	317	2013	7.2324	10.3028	22	9	27.079	30.0195	28.1887	3.0704	2.9405	1.1097	0.622615201496344	1.91167771467437
Daulton Pond	10	2013/11/21	325	2013	7.2454	10.4055	30	16	28.8717	32.049	29.2448	3.1601	3.1773	0.373100000000001	0.88257325402071	2.78901974003084
Daulton Pond	15	2013/11/21	325	2013	7.2625	10.3862	30	17	30.5128	33.7107	30.7001	3.1237	3.19790000000000	0.187300000000000	0.941430313643328	2.94074587072767
Daulton Pond	39	2013/11/21	325	2013	7.2033	10.1584	30	18	29.435	32.4173	29.5904	2.9551	2.9823	0.155400000000000	0.947892566140227	2.80111732220099
Daulton Pond	45	2013/11/21	325	2013	7.2217	10.2143	30	19	28.5462	31.5476	28.6672	2.9926	3.0014	0.121000000000002	0.959685480109282	2.87195476777504
